dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
72;17;2023-07-10;41270;40498;9420;180;474;3;43929.0;93.9;92.2;21.4;0.4;1.1;0.0
72;24;2023-07-10;45067;44574;33303;724;635;14;46438.0;97.0;96.0;71.7;1.6;1.4;0.0
72;29;2023-07-10;26181;25852;18569;548;453;15;27139.0;96.5;95.3;68.4;2.0;1.7;0.1
72;39;2023-07-10;56641;56034;41963;1653;1388;77;60168.0;94.1;93.1;69.7;2.7;2.3;0.1
72;49;2023-07-10;65036;64670;53933;3385;2887;159;68343.0;95.2;94.6;78.9;5.0;4.2;0.2
72;59;2023-07-10;70806;70533;63383;10551;7209;966;74166.0;95.5;95.1;85.5;14.2;9.7;1.3
72;09;2023-07-10;1408;1100;13;1;1;0;33063.0;4.3;3.3;0.0;0.0;0.0;0.0
72;64;2023-07-10;34513;34396;32216;13854;7348;2529;36708.0;94.0;93.7;87.8;37.7;20.0;6.9
72;69;2023-07-10;33383;33291;31755;16587;8989;3480;35548.0;93.9;93.7;89.3;46.7;25.3;9.8
72;74;2023-07-10;31908;31791;30578;18458;10006;4447;33955.0;94.0;93.6;90.1;54.4;29.5;13.1
72;79;2023-07-10;19869;19758;18910;12412;6629;3539;22374.0;88.8;88.3;84.5;55.5;29.6;15.8
72;80;2023-07-10;37314;36788;33772;22295;11900;7293;40038.0;93.2;91.9;84.3;55.7;29.7;18.2
73;04;2023-07-10;7;3;1;0;0;0;21698.0;0.0;0.0;0.0;0.0;0.0;0.0
73;11;2023-07-10;914;752;41;3;15;0;10977.0;8.3;6.9;0.4;0.0;0.1;0.0
73;17;2023-07-10;26931;26394;4893;89;260;3;32498.0;82.9;81.2;15.1;0.3;0.8;0.0
73;24;2023-07-10;31515;31147;20824;487;407;9;33947.0;92.8;91.8;61.3;1.4;1.2;0.0
73;29;2023-07-10;20366;20111;13159;434;357;17;21549.0;94.5;93.3;61.1;2.0;1.7;0.1
73;39;2023-07-10;46984;46446;31116;1286;1121;52;52367.0;89.7;88.7;59.4;2.5;2.1;0.1
73;49;2023-07-10;51364;50959;38409;2344;1957;110;57199.0;89.8;89.1;67.1;4.1;3.4;0.2
73;59;2023-07-10;56119;55793;46857;6419;4622;524;61467.0;91.3;90.8;76.2;10.4;7.5;0.9
73;09;2023-07-10;711;571;12;0;0;0;24701.0;2.9;2.3;0.0;0.0;0.0;0.0
73;64;2023-07-10;25941;25836;23250;8374;4903;1381;28632.0;90.6;90.2;81.2;29.2;17.1;4.8
73;69;2023-07-10;24220;24103;22341;10398;6287;1992;26284.0;92.1;91.7;85.0;39.6;23.9;7.6
73;74;2023-07-10;23255;23148;21787;11758;7181;2704;25029.0;92.9;92.5;87.0;47.0;28.7;10.8
73;79;2023-07-10;15790;15704;14790;8697;5294;2411;17659.0;89.4;88.9;83.8;49.2;30.0;13.7
73;80;2023-07-10;24888;24507;22160;13478;8281;4670;28047.0;88.7;87.4;79.0;48.1;29.5;16.7
