dep;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
18;0;2023-07-10;242807;240430;196683;57065;31538;13515;81.8;81.0;66.2;19.2;10.6;4.6
19;0;2023-07-10;196113;194173;156956;42903;25869;9531;82.2;81.4;65.8;18.0;10.8;4.0
21;0;2023-07-10;422240;417962;330218;90741;57350;21289;79.0;78.2;61.8;17.0;10.7;4.0
22;0;2023-07-10;516707;511318;416132;121363;74384;28763;85.9;85.0;69.2;20.2;12.4;4.8
23;0;2023-07-10;92440;91514;75628;21649;11224;4268;81.3;80.5;66.5;19.0;9.9;3.8
24;0;2023-07-10;336093;332189;268636;80011;46215;18932;81.8;80.8;65.3;19.5;11.2;4.6
25;0;2023-07-10;405301;401272;304154;70647;41297;13885;74.0;73.3;55.5;12.9;7.5;2.5
26;0;2023-07-10;399408;395016;299926;75322;45103;16458;76.1;75.3;57.2;14.4;8.6;3.1
27;0;2023-07-10;481979;477089;375721;93789;55554;21776;81.2;80.3;63.3;15.8;9.4;3.7
28;0;2023-07-10;344909;341300;271931;73207;43073;17961;80.6;79.8;63.6;17.1;10.1;4.2
29;0;2023-07-10;783496;776168;638669;204230;130319;53961;84.9;84.1;69.2;22.1;14.1;5.8
2A;0;2023-07-10;114610;112943;85826;15092;9126;2968;70.6;69.6;52.9;9.3;5.6;1.8
2B;0;2023-07-10;123256;121422;92843;17924;10763;3579;65.9;64.9;49.6;9.6;5.8;1.9
30;0;2023-07-10;586666;579266;446982;120479;73347;28011;77.9;76.9;59.3;16.0;9.7;3.7
31;0;2023-07-10;1091271;1079802;828049;191531;121278;43733;75.2;74.4;57.0;13.2;8.4;3.0
32;0;2023-07-10;156408;154663;124442;34646;20364;7383;81.3;80.4;64.7;18.0;10.6;3.8
33;0;2023-07-10;1347247;1332516;1046766;282182;180914;72528;80.1;79.3;62.3;16.8;10.8;4.3
34;0;2023-07-10;933097;922010;708577;186091;117870;45171;76.6;75.7;58.2;15.3;9.7;3.7
